1564782,3891,4027,1484,3977,
1564791,3898,4030,1729,3970,
1564793,3891,4025,1937,3982,
1564794,3890,4028,1952,3990,
1564795,3881,4023,2022,3977,
1564796,3892,4029,2073,3983,
1564797,3893,4027,2089,3987,
1564799,3901,4031,1978,3987,
1564800,3901,4026,2096,3987,
1564801,3901,4031,2167,4012,
1564811,3905,4029,1543,3950,
1564812,3874,4023,1829,3970,
1564813,3886,4024,1868,3980,
1564815,3894,4029,2010,3986,
1564816,3897,4028,2102,3993,
1564817,3893,4025,2163,3987,
1564818,3913,4029,2151,4013,
1564820,3917,4032,1987,3986,
1564821,3910,4031,2109,3983,
1564831,3893,4031,1604,3967,
1564832,3896,4030,1878,3976,
1564833,3898,4027,2040,3984,
1564834,3901,4029,2086,3989,
1564835,3906,4031,2159,3986,
1564836,3899,4025,2203,3990,
1564837,3907,4030,2222,4006,
1564838,3908,4027,2163,3984,
1564840,3903,4026,2208,3982,
1564841,3901,4026,2212,3986,
1564848,3902,4030,1489,3969,
1564851,3917,4031,1596,3977,
1564853,3908,4031,1882,3984,
1564854,3910,4030,2026,3986,
1564855,3906,4028,2108,3984,
1564856,3897,4028,2178,3986,
1564857,3897,4026,2196,3977,
1564867,3906,4024,1483,3991,
1564868,3902,4028,1813,3979,
1564869,3903,4028,1996,3985,
1564871,3910,4031,1988,4005,
1564872,3904,4035,1991,3981,
1564873,3895,4031,2044,3999,
1564874,3896,4028,2041,3977,
1564876,3892,4028,2125,3972,
1564877,3896,4022,2163,3968,
1564885,3915,4037,1508,3995,
1564887,3905,4030,1825,3979,
1564888,3906,4025,2003,3979,
1564890,3899,4029,2018,3980,
1564891,3901,4024,2107,4008,
1564892,3892,4024,2013,3978,
1564893,3890,4024,2095,3989,
1564895,3884,4027,2077,3978,
1564896,3882,4022,2109,3978,
1564897,3880,4031,1779,4010,
1564905,3904,4033,1540,3968,
1564909,3897,4025,1845,3968,
1564911,3891,4022,1794,3968,
1564912,3881,4025,1959,3971,
1564913,3883,4026,2061,3978,
1564914,3900,4026,2060,3982,
1564915,3889,4027,2161,4011,
1564925,3904,4026,1639,3963,
1564926,3891,4029,1817,3967,
1564927,3889,4025,1967,3971,
1564928,3885,4025,2058,3979,
1564929,3882,4028,2128,4006,
1564931,3886,4027,1898,3982,
1564932,3897,4025,2044,3993,
1564933,3900,4028,2109,4004,
1564935,3899,4027,2100,3987,
1564936,3898,4027,1468,3950,
1564946,3902,4028,1512,3965,
1564948,3893,4028,1826,3979,
1564949,3896,4023,2033,3972,
1564950,3893,4029,2032,3985,
1564951,3900,4027,2124,3997,
1564952,3907,4028,2159,3990,
1564953,3910,4034,2197,3991,
1564954,3908,4029,1681,3970,
1564964,3892,4026,1917,3968,
1564965,3892,4027,2040,3985,
1564966,3898,4028,2037,3985,
1564967,3902,4028,2105,3987,
1564968,3906,4029,2177,3986,
1564969,3903,4029,2215,4014,
1564971,3909,4032,2122,3985,
1564972,3908,4028,2161,3983,
1564973,3902,4027,2184,3980,
1564974,3900,4028,1705,3975,
1564983,3895,4031,1703,3977,
1564986,3903,4030,1889,3990,
1564987,3909,4030,2034,3989,
1564988,3903,4028,2117,3985,
1564989,3899,4027,2173,3985,
1564990,3901,4027,2085,3987,
1564992,3896,4027,2111,3986,
1564993,3888,4027,2141,3980,
1564994,3883,4037,1693,3983,
1565004,3911,4030,1813,3977,
1565005,3901,4030,1996,3984,
1565006,3901,4029,2049,3985,
1565007,3891,4029,2120,3985,
1565009,3901,4026,2153,3982,
1565010,3888,4027,2023,3974,
1565011,3885,4025,2061,3981,
1565012,3884,4028,2098,3987,
1565013,3880,4025,2134,4014,
1565024,3901,4026,1608,3962,
1565025,3888,4030,1753,3998,
1565027,3893,4025,1838,3970,
1565028,3888,4025,1989,3962,
1565029,3878,4028,2059,3978,
1565030,3892,4027,1977,3983,
1565031,3896,4025,2072,3986,
1565033,3899,4026,2147,3985,
1565034,3904,4031,2075,4008,
